,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
131,2017-05-12,31℃,24℃,中到大雨,无持续风向,微风,45,优,1,广州
132,2017-05-13,28℃,24℃,中到大雨~小雨,无持续风向,微风,59,良,2,广州
133,2017-05-14,29℃,23℃,小到中雨~小雨,无持续风向,微风,76,良,2,广州
134,2017-05-15,27℃,22℃,大到暴雨,无持续风向,微风,32,优,1,广州
135,2017-05-16,29℃,22℃,多云,无持续风向,微风,31,优,1,广州
136,2017-05-17,30℃,23℃,多云,无持续风向,微风,66,良,2,广州
137,2017-05-18,30℃,23℃,阵雨~小雨,无持续风向,微风,77,良,2,广州
138,2017-05-19,29℃,24℃,雷阵雨~小到中雨,无持续风向,微风,53,良,2,广州
139,2017-05-20,27℃,23℃,阵雨,无持续风向,微风,48,优,1,广州
140,2017-05-21,28℃,24℃,小雨,无持续风向,微风,48,优,1,广州
141,2017-05-22,27℃,23℃,小到中雨,无持续风向,微风,47,优,1,广州
142,2017-05-23,30℃,23℃,中雨,无持续风向,微风,55,良,2,广州
143,2017-05-24,26℃,21℃,中雨~小雨,无持续风向,微风,32,优,1,广州
144,2017-05-25,29℃,21℃,多云,无持续风向,微风,36,优,1,广州
145,2017-05-26,30℃,22℃,多云,无持续风向,微风,57,良,2,广州
146,2017-05-27,30℃,21℃,多云,无持续风向,微风,63,良,2,广州
147,2017-05-28,31℃,22℃,多云,无持续风向,微风,80,良,2,广州
148,2017-05-29,33℃,23℃,多云,无持续风向,微风,84,良,2,广州
149,2017-05-30,33℃,24℃,多云,无持续风向,微风,54,良,2,广州
150,2017-05-31,31℃,25℃,小雨,无持续风向,微风,50,优,1,广州
151,2017-06-01,31℃,25℃,小雨,西南风,3-4级,40,优,1,广州
152,2017-06-02,30℃,25℃,大雨~中到大雨,无持续风向,微风,47,优,1,广州
153,2017-06-03,32℃,26℃,中雨,无持续风向,微风,50,优,1,广州
154,2017-06-04,35℃,26℃,阵雨,无持续风向,微风,44,优,1,广州
155,2017-06-05,34℃,26℃,中雨,无持续风向,微风,36,优,1,广州
156,2017-06-06,34℃,27℃,小到中雨~小雨,无持续风向,微风,32,优,1,广州
157,2017-06-07,34℃,26℃,多云,无持续风向,微风,31,优,1,广州
158,2017-06-08,34℃,27℃,小到中雨~阵雨,无持续风向,微风,36,优,1,广州
159,2017-06-09,35℃,26℃,多云,无持续风向,微风,37,优,1,广州
160,2017-06-10,34℃,27℃,小雨,无持续风向,微风,35,优,1,广州
161,2017-06-11,35℃,27℃,多云,无持续风向,微风,47,优,1,广州
162,2017-06-12,35℃,27℃,多云,无持续风向,微风,30,优,1,广州
163,2017-06-13,30℃,26℃,中到大雨~中雨,西南风,3-4级,36,优,1,广州
164,2017-06-14,31℃,26℃,中雨,无持续风向,微风,38,优,1,广州
165,2017-06-15,31℃,25℃,小到中雨,无持续风向,微风,53,良,2,广州
166,2017-06-16,30℃,23℃,大雨,无持续风向,微风,31,优,1,广州
167,2017-06-17,29℃,23℃,中到大雨~雷阵雨,无持续风向,微风,33,优,1,广州
168,2017-06-18,30℃,25℃,中到大雨,无持续风向,微风,37,优,1,广州
169,2017-06-19,28℃,25℃,中到大雨~中雨,无持续风向,微风,45,优,1,广州
170,2017-06-20,28℃,25℃,大雨,无持续风向,微风,40,优,1,广州
171,2017-06-21,30℃,25℃,中雨,无持续风向,微风,37,优,1,广州
172,2017-06-22,32℃,26℃,雷阵雨~多云,无持续风向,微风,40,优,1,广州
173,2017-06-23,33℃,26℃,小雨,无持续风向,微风,31,优,1,广州
174,2017-06-24,33℃,27℃,雷阵雨~阵雨,无持续风向,微风,32,优,1,广州
175,2017-06-25,34℃,26℃,雷阵雨,无持续风向,微风,33,优,1,广州
176,2017-06-26,33℃,26℃,小到中雨,无持续风向,微风,33,优,1,广州
177,2017-06-27,34℃,27℃,阵雨~多云,无持续风向,微风,32,优,1,广州
178,2017-06-28,34℃,27℃,雷阵雨~多云,无持续风向,微风,34,优,1,广州
179,2017-06-29,35℃,28℃,雷阵雨,无持续风向,微风,35,优,1,广州
180,2017-06-30,35℃,27℃,雷阵雨~多云,无持续风向,微风,36,优,1,广州
181,2017-07-01,33℃,27℃,雷阵雨~多云,无持续风向,微风,28,优,1,广州
182,2017-07-02,32℃,27℃,小到中雨~小雨,无持续风向,微风,27,优,1,广州
183,2017-07-03,32℃,25℃,中雨,无持续风向,微风,26,优,1,广州
184,2017-07-04,30℃,25℃,中到大雨~小雨,无持续风向,微风,31,优,1,广州
185,2017-07-05,32℃,26℃,雷阵雨~多云,东南风,3-4级,40,优,1,广州
186,2017-07-06,31℃,25℃,中雨~阵雨,无持续风向,微风,29,优,1,广州
187,2017-07-07,31℃,26℃,小到中雨,无持续风向,微风,25,优,1,广州
188,2017-07-08,31℃,26℃,中到大雨~小雨,无持续风向,微风,30,优,1,广州
189,2017-07-09,31℃,26℃,中雨~雷阵雨,南风,3-4级,33,优,1,广州
190,2017-07-10,32℃,25℃,小雨,南风,1-2级,31,优,1,广州
191,2017-07-11,33℃,26℃,雷阵雨,无持续风向,微风,29,优,1,广州
192,2017-07-12,32℃,26℃,雷阵雨,无持续风向,微风,47,优,1,广州
193,2017-07-13,33℃,26℃,雷阵雨,无持续风向,微风,51,良,2,广州
194,2017-07-14,34℃,26℃,雷阵雨~多云,无持续风向,微风,42,优,1,广州
195,2017-07-15,34℃,27℃,雷阵雨,东风,3-4级,32,优,1,广州
196,2017-07-16,31℃,25℃,小到中雨,东风,3-4级,23,优,1,广州
197,2017-07-17,32℃,25℃,中雨~大雨,东南风,3-4级,23,优,1,广州
198,2017-07-18,29℃,24℃,大雨~中雨,无持续风向,微风,19,优,1,广州
199,2017-07-19,30℃,25℃,中到大雨~多云,无持续风向,微风,29,优,1,广州
200,2017-07-20,32℃,25℃,雷阵雨,无持续风向,微风,38,优,1,广州
201,2017-07-21,33℃,25℃,多云,无持续风向,微风,44,优,1,广州
202,2017-07-22,32℃,26℃,雷阵雨,无持续风向,微风,44,优,1,广州
203,2017-07-23,29℃,25℃,大到暴雨~小雨,东风,4-5级,33,优,1,广州
204,2017-07-24,32℃,24℃,雷阵雨,无持续风向,微风,28,优,1,广州
205,2017-07-25,34℃,26℃,雷阵雨~多云,无持续风向,微风,51,良,2,广州
206,2017-07-26,35℃,26℃,多云,无持续风向,微风,65,良,2,广州
207,2017-07-27,35℃,26℃,晴,无持续风向,微风,43,优,1,广州
208,2017-07-28,35℃,25℃,多云,无持续风向,微风,57,良,2,广州
209,2017-07-29,36℃,25℃,多云,无持续风向,微风,77,良,2,广州
210,2017-07-30,37℃,30℃,多云,无持续风向,微风,72,良,2,广州
211,2017-07-31,35℃,26℃,雷阵雨,无持续风向,微风,67,良,2,广州
212,2017-08-01,33℃,26℃,雷阵雨,无持续风向,微风,68,良,2,广州
213,2017-08-02,35℃,26℃,中到大雨~雷阵雨,无持续风向,微风,41,优,1,广州
214,2017-08-03,33℃,28℃,中雨~雷阵雨,无持续风向,微风,41,优,1,广州
215,2017-08-04,31℃,25℃,小到中雨~雷阵雨,无持续风向,微风,43,优,1,广州
216,2017-08-05,33℃,26℃,雷阵雨,无持续风向,微风,47,优,1,广州
217,2017-08-06,35℃,26℃,雷阵雨~多云,无持续风向,微风,48,优,1,广州
218,2017-08-07,36℃,27℃,多云,无持续风向,微风,45,优,1,广州
219,2017-08-08,36℃,27℃,多云,无持续风向,微风,35,优,1,广州
220,2017-08-09,34℃,28℃,雷阵雨,无持续风向,微风,34,优,1,广州
221,2017-08-10,32℃,27℃,中雨~雷阵雨,无持续风向,微风,39,优,1,广州
222,2017-08-11,33℃,28℃,雷阵雨~多云,无持续风向,微风,39,优,1,广州
223,2017-08-12,33℃,28℃,雷阵雨,无持续风向,微风,37,优,1,广州
224,2017-08-13,35℃,28℃,雷阵雨~多云,无持续风向,微风,33,优,1,广州
225,2017-08-14,35℃,27℃,多云,南风,3-4级,36,优,1,广州
226,2017-08-15,35℃,28℃,雷阵雨,无持续风向,微风,35,优,1,广州
227,2017-08-16,34℃,28℃,雷阵雨~多云,无持续风向,微风,36,优,1,广州
228,2017-08-17,35℃,27℃,多云,无持续风向,微风,47,优,1,广州
229,2017-08-18,35℃,27℃,多云,无持续风向,微风,62,良,2,广州
230,2017-08-19,36℃,28℃,晴,无持续风向,微风,53,良,2,广州
231,2017-08-20,36℃,28℃,多云,无持续风向,微风,69,良,2,广州
232,2017-08-21,36℃,27℃,多云,无持续风向,微风,62,良,2,广州
233,2017-08-22,37℃,26℃,雷阵雨~中雨,无持续风向,微风,63,良,2,广州
234,2017-08-23,31℃,25℃,中到大雨~大到暴雨,东风,6-7级,41,优,1,广州
235,2017-08-24,30℃,26℃,小到中雨~雷阵雨,东南风,4-5级,26,优,1,广州
