,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
118,2021-04-29,23℃,18℃,多云,北风,3级,34,优,1,广州
119,2021-04-30,32℃,19℃,多云,东南风,微风,104,轻度污染,3,广州
120,2021-05-01,32℃,22℃,多云,西南风,2级,78,良,2,广州
121,2021-05-02,32℃,23℃,小雨~阵雨,东南风,2级,50,优,1,广州
122,2021-05-03,25℃,22℃,小雨~多云,东南风,3级,34,优,1,广州
123,2021-05-04,31℃,20℃,阴~中雨,南风,3级,34,优,1,广州
124,2021-05-05,30℃,22℃,阴~多云,北风,微风,40,优,1,广州
125,2021-05-06,30℃,23℃,阴~雷阵雨,东南风,3级,54,良,2,广州
126,2021-05-07,31℃,23℃,阴~多云,南风,2级,63,良,2,广州
127,2021-05-08,34℃,25℃,阴~多云,西南风,2级,45,优,1,广州
128,2021-05-09,35℃,25℃,阴~雷阵雨,西南风,微风,50,优,1,广州
129,2021-05-10,34℃,26℃,阴~阵雨,南风,3级,32,优,1,广州
130,2021-05-11,34℃,26℃,阴~雷阵雨,南风,3级,29,优,1,广州
131,2021-05-12,34℃,26℃,阴~多云,西南风,3级,29,优,1,广州
132,2021-05-13,33℃,26℃,中雨~多云,南风,3级,31,优,1,广州
133,2021-05-14,33℃,26℃,中雨~晴,南风,3级,30,优,1,广州
134,2021-05-15,34℃,27℃,阴~多云,南风,微风,31,优,1,广州
135,2021-05-16,35℃,26℃,阴~雷阵雨,南风,3级,30,优,1,广州
136,2021-05-17,33℃,25℃,阴~大雨,西南风,3级,26,优,1,广州
137,2021-05-18,33℃,26℃,小雨~阵雨,西南风,2级,27,优,1,广州
138,2021-05-19,34℃,26℃,阴~多云,南风,3级,31,优,1,广州
139,2021-05-20,35℃,28℃,阴~晴,西南风,3级,31,优,1,广州
140,2021-05-21,36℃,28℃,阴~晴,西南风,3级,27,优,1,广州
141,2021-05-22,35℃,28℃,多云~晴,南风,3级,26,优,1,广州
142,2021-05-23,35℃,26℃,阴~多云,东南风,3级,27,优,1,广州
143,2021-05-24,30℃,26℃,暴雨~雷阵雨,东北风,2级,24,优,1,广州
144,2021-05-25,33℃,26℃,阴~阵雨,东南风,2级,33,优,1,广州
145,2021-05-26,30℃,27℃,中雨~雷阵雨,南风,微风,21,优,1,广州
146,2021-05-27,34℃,26℃,雷阵雨,西南风,3级,25,优,1,广州
147,2021-05-28,35℃,26℃,阴~雷阵雨,西南风,3级,25,优,1,广州
148,2021-05-29,33℃,26℃,中雨~大雨,西南风,3级,26,优,1,广州
149,2021-05-30,34℃,25℃,大雨,西南风,2级,35,优,1,广州
150,2021-05-31,32℃,25℃,大雨,西南风,2级,29,优,1,广州
151,2021-06-01,30℃,25℃,大雨~中雨,东南风,2级,24,优,1,广州
152,2021-06-02,29℃,25℃,大雨~中雨,东南风,2级,25,优,1,广州
153,2021-06-03,33℃,25℃,阴~大雨,东南风,2级,34,优,1,广州
154,2021-06-04,26℃,23℃,大雨~阴,西北风,3级,24,优,1,广州
155,2021-06-05,30℃,23℃,阴~多云,西北风,2级,42,优,1,广州
156,2021-06-06,34℃,24℃,多云~雷阵雨,东北风,2级,66,良,2,广州
157,2021-06-07,32℃,25℃,阴~雷阵雨,东南风,2级,75,良,2,广州
158,2021-06-08,34℃,25℃,阴~雷阵雨,东南风,2级,60,良,2,广州
159,2021-06-09,33℃,25℃,阴~雷阵雨,东南风,2级,33,优,1,广州
160,2021-06-10,32℃,25℃,阴~雷阵雨,东南风,2级,29,优,1,广州
161,2021-06-11,32℃,26℃,阴~雷阵雨,东风,3级,26,优,1,广州
162,2021-06-12,31℃,25℃,阴~中雨,东南风,3级,21,优,1,广州
163,2021-06-13,32℃,26℃,大雨~雷阵雨,东南风,3级,21,优,1,广州
164,2021-06-14,30℃,26℃,阴~多云,东南风,3级,19,优,1,广州
165,2021-06-15,33℃,26℃,阴~雷阵雨,南风,2级,28,优,1,广州
166,2021-06-16,34℃,27℃,阴~多云,南风,3级,31,优,1,广州
167,2021-06-17,34℃,27℃,阴~多云,南风,2级,31,优,1,广州
168,2021-06-18,35℃,27℃,阴~多云,西南风,3级,32,优,1,广州
169,2021-06-19,35℃,28℃,阴~多云,西南风,3级,34,优,1,广州
170,2021-06-20,36℃,28℃,阴~多云,西南风,3级,35,优,1,广州
171,2021-06-21,35℃,25℃,阴~大雨,西南风,2级,39,优,1,广州
172,2021-06-22,28℃,24℃,小雨~大雨,西风,1级,30,优,1,广州
173,2021-06-23,29℃,24℃,大雨,东南风,2级,26,优,1,广州
174,2021-06-24,30℃,25℃,阴~雷阵雨,东南风,1级,33,优,1,广州
175,2021-06-25,32℃,26℃,阴~雷阵雨,东南风,2级,33,优,1,广州
176,2021-06-26,33℃,26℃,阴~多云,南风,2级,33,优,1,广州
177,2021-06-27,35℃,26℃,中雨~雷阵雨,西南风,3级,38,优,1,广州
178,2021-06-28,30℃,26℃,阴~雷阵雨,南风,3级,37,优,1,广州
179,2021-06-29,32℃,26℃,阴~雷阵雨,南风,2级,36,优,1,广州
180,2021-06-30,33℃,27℃,阴~雷阵雨,南风,3级,31,优,1,广州
181,2021-07-01,34℃,28℃,阴~雷阵雨,西南风,3级,36,优,1,广州
182,2021-07-02,34℃,28℃,阴~雷阵雨,南风,3级,31,优,1,广州
183,2021-07-03,33℃,28℃,阴~多云,东南风,3级,33,优,1,广州
184,2021-07-04,35℃,27℃,阴~多云,东南风,3级,36,优,1,广州
185,2021-07-05,34℃,26℃,阴~雷阵雨,东南风,2级,30,优,1,广州
186,2021-07-06,33℃,25℃,多云~中雨,东南风,3级,29,优,1,广州
187,2021-07-07,32℃,26℃,小雨~雷阵雨,东南风,3级,34,优,1,广州
188,2021-07-08,33℃,27℃,多云,东南风,3级,22,优,1,广州
189,2021-07-09,35℃,26℃,多云,南风,2级,38,优,1,广州
190,2021-07-10,35℃,26℃,阴~晴,东南风,3级,34,优,1,广州
191,2021-07-11,35℃,26℃,多云,东南风,3级,22,优,1,广州
192,2021-07-12,34℃,26℃,多云~晴,东南风,3级,26,优,1,广州
193,2021-07-13,35℃,26℃,阴~多云,南风,3级,29,优,1,广州
194,2021-07-14,36℃,26℃,阴~多云,南风,3级,38,优,1,广州
195,2021-07-15,34℃,26℃,阴~多云,东南风,3级,32,优,1,广州
196,2021-07-16,35℃,25℃,阴~雷阵雨,南风,2级,34,优,1,广州
197,2021-07-17,34℃,25℃,阴~雷阵雨,东南风,2级,47,优,1,广州
198,2021-07-18,34℃,24℃,阴~雷阵雨,东南风,2级,29,优,1,广州
199,2021-07-19,30℃,24℃,阴~中雨,东北风,2级,24,优,1,广州
200,2021-07-20,28℃,24℃,小雨~中雨,东北风,3级,18,优,1,广州
201,2021-07-21,27℃,25℃,阴~雷阵雨,东南风,3级,22,优,1,广州
202,2021-07-22,35℃,25℃,阴~多云,东南风,2级,43,优,1,广州
203,2021-07-23,37℃,25℃,多云~晴,西北风,2级,54,良,2,广州
204,2021-07-24,36℃,26℃,晴~雷阵雨,北风,2级,45,优,1,广州
205,2021-07-25,36℃,26℃,多云,东北风,2级,51,良,2,广州
206,2021-07-26,35℃,26℃,多云,西南风,2级,63,良,2,广州
207,2021-07-27,37℃,27℃,多云,西风,2级,50,优,1,广州
208,2021-07-28,38℃,26℃,阴~中雨,西南风,2级,54,良,2,广州
209,2021-07-29,36℃,26℃,小雨~中雨,东南风,2级,44,优,1,广州
210,2021-07-30,32℃,25℃,阴~雷阵雨,南风,2级,31,优,1,广州
211,2021-07-31,33℃,26℃,阴~多云,西南风,2级,33,优,1,广州
212,2021-08-01,36℃,27℃,阴~多云,西南风,2级,37,优,1,广州
213,2021-08-02,34℃,27℃,阴~多云,西南风,2级,54,良,2,广州
214,2021-08-03,34℃,27℃,阴~中雨,东北风,2级,30,优,1,广州
215,2021-08-04,32℃,26℃,阴~中雨,北风,3级,29,优,1,广州
216,2021-08-05,30℃,26℃,阴~中雨,西风,2级,38,优,1,广州
217,2021-08-06,32℃,26℃,大雨~雷阵雨,西南风,2级,43,优,1,广州
218,2021-08-07,35℃,26℃,阴~雷阵雨,西南风,2级,44,优,1,广州
219,2021-08-08,32℃,26℃,阴~雷阵雨,南风,2级,39,优,1,广州
220,2021-08-09,29℃,26℃,阴~中雨,东南风,2级,32,优,1,广州
221,2021-08-10,31℃,25℃,小雨~中雨,东南风,3级,41,优,1,广州
222,2021-08-11,33℃,25℃,暴雨~雷阵雨,东南风,2级,43,优,1,广州
223,2021-08-12,34℃,26℃,阴~雷阵雨,东南风,2级,32,优,1,广州
224,2021-08-13,33℃,25℃,阴~中雨,南风,2级,28,优,1,广州
